sentiment,content
surprise,back to roseburg..and an empty apartment
worry,"last day of volleyball miss everyone already. oh well, banquet on 10th hopefully everyones gonna be there"
neutral,really wants to go see the script in ny in august.. but no one will go with me
worry, nvm i just got ur message that ur sick
neutral,toontown is down
sadness, how can i read the floyd article says it is private
neutral,wants to sign up for the germany field trip pero no tengo dinero.
sadness,tonights been boring!
worry,noone wants to talk to me  lol
surprise, noo! i just spent two days getting that damn song out of my head
sadness,i so ca not be bothered working tomorrow!
worry," i do not know what that means, sorry"
happiness,i need a bear hug  and im going to camp today!!
worry,awake sadly  seeing leon today !
sadness,im slowing on my tweets..cuase i lost my phone
neutral,this has been a pretty shitty week. minus seeing . where is that muscle relaxer i need?
surprise, got damn stranger  lol
worry,i wish i did not have to work two jobs
worry,too tired
sadness,"it is friday and i would love to party, but do not have a sitter."
worry,just woke up still fukin sick
surprise, raj was not on the list.  so scoop or bandit.
neutral, yeah.. i left cause my pc ca not run the client anymore. i had thought i would have a new one by now..
worry,"sigh, my sisters bein strange.. she came all the way from copenhagen to london, and now her phones turned off.. i wanna see her dammit"
worry, aww i know its my addiction!  aww i know samee  !  its just more more more !
neutral," oh nos, what happened"
worry, omg .. my memory must have failed me! very weird since i do not normally forget because of my profession!
worry, aww  yeah i feel you. i know its hard.
sadness, i am trying really hard not to hate you.
sadness,boo my best friend is leavin for the weekend. what ever will i do without her??
neutral,i cannot sleep due to watching uktv food. its keeps my cravings at bay. i think my bodies guna ache tomro
sadness, i miss you  !! ??
worry,stopped at the store to pick up some items and debit card is missing
sadness,"confused, angry, anxious and on top of everything lonely"
neutral, i am on twitter! go me. i have no idea how to work it.
worry,taking willy to the specialist..poor dog! he has to get a ct scan cos he ca not walk properly atm
neutral,nothing to do this evening.. missing lifestory
sadness," yes, that is what i meant.. i do not have anything to turn it into hirigana, though."
neutral,my finger is now pregnant
worry,at subway. not feeling good
sadness,"i miss him  alot but im not gonna talk to him, i hope"
love,  joe and i lovee you.
worry, ouch. i wo not be down in miami tomorrow morning. that sucks  it is a cruise? are you driving back the next saturday?
sadness,"grandma caminker passed away today.  she will be missed, but may she rest in peace."
neutral, we need to hang out!
neutral,taking a break from sewing to do some dishes
worry,"too many cocktails last night, my head hurts"
sadness,ugh. why is it so hard to upload a picture on twitter?
sadness,just saw a doope bmw 6 series parked with the top back..to bad it was raining
surprise, she is that is why she never speaks to me in college i think  ..i might just stick to unzela..if hashim dosnt shoot me
worry,is losing money in vegas..
sadness,"sh t, i am getting even more sad. i am currently at the library and j think it will be the last one too"
worry,here comes the storm..ackk
worry,why isnt my internet working
neutral,should not drink cheap wine
worry, ooh thats an early start  ive got bed planned for that time..ha..loveyoujonesy xx
worry,so sad that aki is out for the rest of the season!
sadness,upset.. friday night crying!
neutral, why baby?
worry,wants to go home and see erin
worry,i have no one to go to the spring show with
worry," guilt trips, feeling sick, pressure. stress and too much drama"
sadness,trying to fix my sister is ipod  then phoenix tomorrow morning at 445am! hopefully i will actually get to play this tournament. stupid fence.
neutral,someone fly me to reno
worry,not legally old enough  to get a summer job outside of babysitting.
neutral, just got zion tweet
worry,working too hard.  at least graduations are over.
worry,". tickets, i need my tickets, where are my tickets. i want my tickettss"
worry,the underwire in my bra is sticking out and poking me in the armpit
happiness," ahh!  i knoww! i saw it may 5th and 6th in newcastle and it was so good!! i am soo excited for 6th june, as its my bday aswell!"
worry,i fear the spaceship is not long for this earth. it just stranded me and edwin on the highway. there was smoke
sadness,some things are better left unsaid . its better if only i know
neutral,my tv is so boring
worry,its weird how thinking about may 2nd totally changed my crappy mood to happiness..i miss  so much
sadness,livin on ur own iznt nice at all. i miss my mum
worry,own 2nit but i cant go.
neutral,writing reports..
neutral,sitting in bed where i will be for the weekend.
worry,to save my heart i think imma let go! i can see myself getting hurt with you!
worry," it is up now,  and  won.  sorry"
love,"wow, its hot and miserable. people are probably killing themselves right about now.."
neutral,headed to waterfront for a quick drink with the office peeps..corsen building of course was booked  any suggestions?
neutral,wow it is like a vpl fest in front of my office right now.
sadness,i get an instant sad face when i see a little kid lose their balloon
worry,i dont noe what to eat for breakfast hmm im so hungry
love,kristen i miss you
sadness,so tired and i have 17 hours to work tomorrow
surprise,i am so glad my concert is still a week away..i am getting so sick and i need the time to recover!! my lungs hurt so bad right now
sadness,chick fil a for dinner. hopefully i feel better. my head and eyes are killing me
neutral,yep. that good feeling did not last.  back to sleeping for me.
worry,restoring my ipod touch seemed like euthanasia to me. i was willingly killing it.
sadness,more depressed ty very much!!
sadness,headaches are dumb.
worry,golfing ended early
worry,st joe is dirty.
worry, i am so so sorry to hear that he has parvo. good vibes comming your way.
neutral, my bad. i thought you were talking about today
worry,"layenn down,uughh dunt feel well"
worry,it just occured to me.. tonight is cheri is prom night..i was suppose to go with her.. 970 miles makes that kind of difficult.
neutral,"dreading this weekend, every minute of it is me doing coursework i should of done during the week and learning 2 pages of french speaking"
sadness,missing someonee..
neutral,there are ants on my lollipop
sadness,my arms hurt
sadness," sorry your day was so bad  gettin the drink on, good plan!"
sadness, dammit i wanted to ask you about someone who i might be shooting but cant remember her name now
sadness, sadly no. it did not come with one..
worry," omg what a shame about hollie,just watched that clip u posted"
worry,suffering from  hemorrhoids.
sadness,  my cousins moved there like 2 years ago and i miss them so much. i was just looking at their facebook and now im sad
happiness," i am not sure.  btw, yay for wicked tickets! that is awesome! when are you going?"
neutral,  i know.. kittie should be a professional..
worry,"also i managed to ink half more page. unfortunately page 006 will totally suck, but at least i tried hard before i decided to move on"
neutral, that would be soo much and geeky to the ultimate level! but i work 9 to 530am
worry, noo sorry my love..after that i am going to pop about 7 zyrtec and go to sleep
worry,no waterfront anymore  faccia luna and clarendon will have to do
sadness,going to bed watching a bit of qi. wake up tomorrow to face the start of my last summer in bath. bit gutted atm to be home
sadness,study study study.  what fun on a saturday.
sadness,stupid shopping bags left a red mark on my arm
neutral, busy but fantastic. tried to unplug for a few days.  thank you for the ff!!
worry, honey perhaps some medicine? i feel bad for you? do you have fever?
neutral,nursing sore back today
neutral,wife and kids have made it to san antonio..almost to corpus!  praying for safety the rest of the way.  guess i will watch the game alone
neutral," all work, no play."
worry,  but they are hungryy
worry,i ran over a turtle.
sadness,not a very good day at the house
sadness,"really tired. and have to work the whole day tomorrow, the thought of it depresses me.  uncool.."
worry, you are just unhappy to return to occupying the same city as me  i am cry now too.
sadness," i know. i think i am going to have to miss it, though.  this is when sacrificing money for job happiness sucks ass."
worry,", i called your say naw and got a voicemail for a guy named shannon.."
worry, sorry to hear that.
neutral, no i do not mind kent it is just my best friend is going there and im going to miss her
surprise,ca not make it to graduation..
love, ya i just never play it..i am basically only using my ps3 these days
sadness, uh.. what does that mean?
neutral,"got stood up, again"
worry, hey member when we were better friends then you and anthony. that was pretty sweet ha. way to be a trader for the weiner.
neutral, i am in traffic on the 405 and i still do not see the sun
neutral,tierd.i just want to talk
worry,i am nervous.. i hope i get in.. this could be a costly mistake.. more like procrastination and assumption..
neutral,i ca not help it if i am a grammar nazi!
sadness,sitting around doing fuck all..tired
sadness,so bored..miss everybody already
worry,i miss vermont
sadness,  i miss you
neutral,  youtube? outside the us ca not see it
neutral, i have the twitter but i ca not follow you
neutral, it stings
sadness,it just had to rain on me almost a perfect day now my clothes are wet
neutral,i wanna listen to the full send it on
worry,i dont feel very good
worry, why do you say that i am a dick? i find that hurtful!
sadness, yes that sucks. i miss you
love,  i want alexis bledel back on screen every thursday night
neutral, you should get tickets scotland told! they are not selling tickets for any of your scottish dates yet!
worry, lol 518 that was not the year i was born  lol
worry," i ca not get in, i am in a waiting room"
neutral,goodbyee arizona. see you in 3 weeks.
neutral,nothing to do on a friday night
worry," yeah, the economy sucks so bad.  yeah, i know what a cafeteria is. i am unemployed at the moment and i hate it!"
worry,"my friend has sent me such a sweet sms. i ca not wait to see you, i am actually missing you"
happiness,i have to be at work at 5 am  .. thanks to me ppl will be getting their freakin starbucks. peace out ppls!
sadness,"please please, anyone?"
sadness,missing my bffls! missing my friday night dates!  hot dogs for dinner then who knows what the evening holds!
surprise,"i want to become vegetarian, it is going to be so hard!"
surprise,wow what a storm we just had!! now no power
worry,up is out today!! why why why why does my head hurt so badly??!?!??!!?  i want to see it!!
sadness, tired! i may have to go to bed. trouble is i miss all my american evening friends.  x
sadness,i do not like my dress
worry, i want to be at 
love,"i wish i had my ipod , i need some jonas . i miss their sexy voices  jb forever !"
neutral,ugh that walmart was so hot and white  is it wrong that i can see how people become agoraphobics?
neutral,im moving to canada
worry,officially has pink eye.
worry,the trip was really great. but i cant belive summers here
happiness,it is too beautiful to stay inside
surprise,trying to figure out this thing..it is not going well
love,i miss my puppies..
neutral,anyone want my chocolate nutella mochi? its just gonna go to waste
sadness, glad u feel like cooking i am so tired
neutral,ouchh i burnt my frkn tongue
sadness,at my rehearsal..gonna miss the game  please keep me updated! go nuggets!
worry, aww i feel bad for the lil nigga. he look like he know what is coming
neutral, i know !  my bg looks emo now .! lol
sadness, yeah i know  been dealin with it for over 2 yrs now
sadness, how could you go to cali without me?? i am sad.
worry, oh no! so sorry about your pets..
sadness, yip..aw gonna miss them on bb
love, i miss standing next to you..
neutral,laying across my bed.. hurt my back a few days ago
worry,this has been a dismal week.
worry,"the day started so wonderful, but now our kids our crying because our kitty is missing  we just got back from posting signs around."
worry,feeling kinda nervous when there was a virus found on the computer
worry,cant go to work tomorow. still sick  grr its anoying me now!x
neutral, wish i was rollin with ya
neutral,"missing my granpa, goingo to church, its been two hard months without him!!"
worry,"  i know, right? i guess the oldest does not hold rank on field trips anymore."
worry,  the one day i need to work
sadness, and i have to wait till january. life is not fair!
worry, oh no  i hope you reach him!
neutral,my dad just told me that he wants to put me up for sale on craigslist
neutral,im lonely werkin
worry,this weekend is completely different from last weekend.
sadness, i know i suck.  my data plan is weak sauce.
worry, my cousin is in jail for shoplifting and drugs she is 16! im upset please help me feel better
worry,sending angry vibes to the individual in a blue vehicle who hit my car in the qfc parking lot on broad and failed to leave a note
happiness,so i just had a violent fightclub like sex dream involving heavily tattooed ladies. i did not wanna wake up.  lol.
worry,  woh won at least you are not in the nyc situation
worry, but my bday is june 19.. this is wack.. and ihavent seen any promotions for my bday party  someone better finagle this asap!
neutral, awe  wit the snap of my fingers n a nod of my head ur rain is gone  lol..thxs hit up afterwards
sadness, yea yea  im about to torture myself by doing a stanky leg marathon..ima do the dance for hrs til i ca not no mo
worry,"oh man, just seen the bgt news.. not cool. i loved greg.  that dancing weepy kid was just fucking obnoxious imo."
worry, im jealous.  im slaving away at the store and youre chilling on the boat.
sadness, damnit all. that sucks.  you were one of the ones i thought i would drag back lol
worry,  my cousin is in jail for shoplifting and drugs she is 16! im upset please help me feel better
surprise, your schmoo is moving? are you sad?
love, i want to chat with you in im some day.
sadness," my music teacher either expired or forgot about my lesson, leaving me outside waiting for my ride to pick me up for 1 hour."
sadness,well it is after 6 and i did not get a call back  oh well
neutral, i am going to cali in like two weeks! but it is nor cal
worry, you traitor  whiskey and coke is my aphrodisiac
sadness, cool. looking forward. san francisco was really nice. did not make it out to napa though  maybe next time.
happiness, so cool to hear you guys on 104.5! and i ca not believe you in were cherry hill a few weeks ago and i missed it  come back
neutral," no, new orleans.. been here since katrina .."
worry, wish we could come see u on denver  husband lost his job and ca not afford it
worry,i do nothing on friday nights
sadness,omg trying to fix pic but its not working!! ugh also mom wont let me sleep over sanzz!!  bad day!!
worry,has a tummy ache.
sadness," i wish i was! well, for the past hour i have been. but before that i was in bed. proper migraine!"
happiness,friday!! woo and nothing to do.  nuggets better pull it off tonight.
sadness, he is totally ignoring me!! how sad!  i am heartbroken
worry,  my cousin is in jail for shoplifting and drugs she is 16! im upset please help me feel better
sadness,"got stuck in a traffic jam today, i now have one sunburned arm"
worry,i have nacho chips..but no cheese.
sadness,"on my way to work, i am kinda sad"
happiness,i love it when it rains on me when im golfing
sadness,"chillin on break eatin some grub. pretty burnt out had an eventful day. wanting to go to the movies with ian, not happening though."
sadness,i missed your calls
worry,  people are cruel sometimes.  i ca not imagine being a star.
worry,"went for run, my sinuses are pissing me off"
worry, thanks. they are both so cute. havent been home for many years so havent seen them in person
neutral,no one is coming in
sadness,waiting for sleeping pills to kick in.. gonna be so tired at work tomorrow
worry,i sadly have no voice after the food faire and the academic pep rally!! i need my voice.
surprise,select yums tees on sale! bird walk and sodmg are sold out though
sadness,why the fuck ca not i be over this ?? i feel like crying bit i realy do not want to  why is this bothering me soo much !?
sadness, i ca not shes taken my keys to muh car.
neutral,  it is very pleasant. i soo rarely just have time to kill..
sadness,"no rockin on the river for me, tonight.."
worry,"iss boredd, gotta be up in the morningg"
neutral, i miss youhh ci! tell dem japenese ppl to give yu a computer or sumthinn. ya twit fam missess supa c!
surprise, what? whyy?
worry," wow, honestly not surprising, every time they try to push that guy he gets injured"
neutral,nite nite my fellow tweeters goin to put ma ipod in n listen to some westlife missin those guys  then headin to sleep early start  7am x
sadness, just checked again and it worked!! sorry
worry, bud light?!?!?!  up in massachusetts and no boston lager?  guess i wo not catch the next flight  njoy!
neutral, and i have cheese and no chips.
happiness, i went to that concert and i remember derek and mark were hosting! i miss seeing bhb  at the grove.
neutral, eh..not sure daw guesting ni cha on monday
worry,im giving up on twitter. my pic is gone my background is gone..i am hopeless when it comes to technology!!
happiness, haha damn you not inviting me
worry,"aghh mann i missed like half wowp, nd i dont like to start watching things in the middle of the show, i forgot to record it, im madd!"
worry, will start tonight. bored. tired of waiting on darkward. i am breaking up with him
worry, i feel like i have not talked to you in a really really long time.
worry,  it wont let me vote even tho im signed in
worry,oh and i forgot my cell at home  thankgod for this crackberry
surprise, what! i was only gone for 30 minutes and you are already showing boobage without me?
neutral,is on break..i am so tired
worry, i am so sorry i missed your tweet  i was on a nice long chat across the border with pastel. did you want the recipe? email?
neutral,tempted to buy mac at acw..even though i do not need anything..but i want to try dazzleglasses
worry,waah.. i ca not open my eyes wider! i wanna go back to sleep but i ca not sleep properly..
worry,"fckeditor is giving me problems! posts just fine, but only edits in plain text! help!"
sadness,my fab broke
worry, what did he say about it?? gosh! i missed the yesterday live chat.. i was at bed.. sick
neutral, wish they were in toronto  will you be coming back here soon?
worry,i am in a traffic jam
worry,has a broken iphone
neutral,"  bit of new scientist, this weeks an last weeks, and watership down"
sadness,"omg, someone just left me a voicemail at work  ffs let me have a day off"
worry,i am a bum today
neutral,might go to bed? no nightmares about bad grades tonight please!  hmm!
neutral,environmental project
sadness, oh noes i missed you again.
worry,just got my dress for my friends wedding. its a little tight in places. gotta work out more
neutral, yeah we only went for 5 days  im trying to get back in november with my mom for super soak stars weekend
worry,chris cornell is going pop?!  i prefer the old chris cornell.
neutral, why have i not heard of said show?
worry,so i have like no more friends it is kinda sad
sadness,"ok, twitter doesnt like me  i must be really dumb..how do i send a msg?"
worry,offically in dc ..  missing my numero uno
neutral,  i can never tells mommy!  or they will be means to me..
neutral,doin homework ugh
neutral,in my room its too damn warm! windows open but im still cooking !
sadness,wanting to go out.. apparently no ones available!
love, i know  i am tweeting more now though do not you worry!! haha i wish i could fly to ohio! i saw beyonce on monday uhmygawdd!
worry,lack of sleep leads to major head ach
sadness,they burnt my zuccini
sadness,has such a freakin migraine
neutral, just saw some of the photos.. he had his shirt off again did not he..
neutral, saw that across the street for manuels. fur coats must be in short supply somewhere
worry,feeling sick. headache. bored. tiredd
worry, oh noo.. i cant see it
sadness,i miss vlogcandy
sadness,why ca not i find any jewellry for my dress?
sadness,epic fail with the chocolate fountain that got clogged
worry,argh! why is the bathroom always closed when i am late from my break and gotta pee?!!
neutral, yes its the twins  so i wontt be watching
sadness,aw i could not see robert before practice. that makes me sad
sadness, aw..poor thing.
worry, i noticed that you were on the same hallway..shitty  no worries about the bbq..i am hoping there will be more to come!!
sadness,i ripped my favorite pair of jeans.
sadness,i just bit my tongue.  blood everywhere!!
happiness, that sounds great right about now. it is ridiculously hot in my house
neutral,cleaning time soon
worry,time for my ritualistic friday night depression
worry, aww i miss driving down elmwood
sadness,burning my tongue on won ton soup
neutral,i ca not see results for whyareyoustillhere
happiness, it would still involve me standing up. lol. windows are too high up. guess im just gonna have to go out
sadness,why has not he called. i am being blown off yet again.
sadness,sometimes i forget my favorite porn stars are real people too.  made orange chicken last night and cut his finger off! sad!
sadness,"cars,,cars..cars..i need one. ha ha. the one i found last night, that i wanted so bad! is now sold. and not to me"
worry,eye still hurts  i think i will go sleep now..
worry,gah! i have the headache from hell. reminds me what my lovely wife goes through all too often
happiness,just enjoyed 2 steak quesadillas! kinda mad cause i am gonna miss the laker game!
neutral,its stormy
sadness,rain rain go away.  had to cancel my pool plans! tragic.
sadness,is sad there was no otalia today
worry,my day is going way too fast
sadness,so busy already
neutral,y!oi thay doi khi chung ta.. thoi day!
worry,so glad the days almost over.. another nite of me nd my pain pills alone at the crib lol. ughh i wish this weekend was over alreadi!
neutral,practice was a beast today. not going to see julian tonight
love, help!!
worry," this spine thing sounds no good  back exercises are no fun, best of luck hon."
surprise, damn! natalya! you gotta tell me whats going on!! i would call you but i lost all my phone numbers when i broke my blackberry
happiness,"so much happier, despite my looming departure"
worry," hahahaha! i did not know it said that, sheeitt! i do not get why i ca not have a picture.. bwaahh"
sadness,somehow i have managed to sober up and now i remember how crap i felt pre drink
love,"  i love you, though!"
worry, ha! i know..i am very ashamed.
neutral,i do not wanna work tonight
sadness,"i had some work to do, but my wrist hurts too much to do any of it."
neutral, im salaried so i do not make any more or less no matter how many hrs i work.  comes with the territory i suppose.
worry,dudes nothing to doon a friday
happiness,listening to nin and working on my break. almost as good as being at the show..  rock out extra hard 
neutral,really not lookin forward to monday  bak to college
sadness,"feelin depressed ,, i miss you soo damn fcking much besties  ..i wish i wouldnt have left yt"
worry,rain on my parade of beer and fire
surprise,goodness gracious my chair broke
worry, i could not eat all my nuggets  finish them for me.
worry, i is angry
neutral,lots of noisy peeps outside
worry,is upset that he did not get his 24 fix tonight
sadness," you can have the milk i have, i only have that here to drink  i think thats whats making me feel sick"
neutral, i wish you guys had gotten it on video
worry,oh how today sucks..
love, i soo need to see u  im on some bs 4real deadass lmao
sadness, having a bad day actually  but your cd keeps my spirits lifted
worry, i am lost. please help me find a good home.
worry,  aww hey boo..  i know i miss all of them
surprise,i lost a follower
neutral,bouncing rush makes me feel nauseous
worry," how hard is it 2 be running back an forth constantly? ya kno workin all the time, havin crazy sleepin schedules? must be hard"
happiness,oops forgot to shave my legs!  byebye to my favorite cousin  bklyn two nights in a row.. we go hardd!!
worry,is crying..because the school years over  i wont get to see my teachers!  i wont get to see johnathan..
worry,wow. so i hate staples right now. majorly. thanks for being complete fucktards and killing our productivity
neutral,finishing washing dishes
worry,sigh only 1 problem though i need to call stoopid lime aka cable and wireless and have them reconnect my interent 2 day without net  sads
neutral, been there!  need somewhere new
worry,i think my phone has officially bit the dust.
worry,sitting in the car. my ipod is about to die so im not gonna have anything to do.
worry, i want to comment but do not understand what you are saying
neutral,just dropped my biscuit in my tea
neutral,was hoping to go to red lobster this weekend
sadness,"there go my big plans.. thanks, tonsils."
love, i miss youu and i wish i was dodging semis with you
sadness, that makes me sad..
love,i just wanna be happy
worry,i wish i could see dramafest so bad.
love," i wish i was going, cuz i miss you."
neutral,i got paint in my hair
worry,making a list of sic 2009 attendances
sadness, i miss you!!  stupid work!
neutral, lame right?  do u know what dates you will be in cali?
worry,thinking i cant handle my life like this anymore.. almost seems as if suicides the answer.. unfortunately.
sadness,friday..i have nothing to do so sad
worry," yeah, that does sound a bit bad man.. i got fucking exam week this week"
worry,is terrible at saving money..
sadness, i go into the room for the first time in weeks and you are off cleaning
neutral, nope  i am soo curious..
neutral, i wanted to see it until i saw that it was pg 13. that totally bummed me out.
love,"wish i could be in via funchal  yesterday, , , ,  were perfect, the best day in my life xx"
sadness,"misses jp  i do not know what to do and iv given myself a headache thinking about it, just makes me want to cry"
worry,"did not expect to have a car accident, then the pain kick in 4 days later"
worry,i feel like a lost puppy without my phone.
worry, i am lost. please help me find a good home.
sadness,off to bed was gonna read some new moon but its a little late now  night night all xx
worry,"she tells me that she feels miserable, so at least it is mutual."
worry,ugh i do not feel well again all of a sudden
sadness, is there anyway you could forgive me?
neutral,tripping through tiredness is nott nice
worry,bella does not love me no more
worry,i have a sore tummy
sadness, i miss you already. all the sad faces you texted me were seriously gonna make me cry.
surprise, why were not we invited?
sadness," hi rob, will you be coming back and doing any more shows in wales again soon? missed you the first time."
sadness, artery tomorrow. no more hagen daz for me
sadness, it looks like it did in ohio after a tornado hit.
worry,my picture wo not update.
sadness, haha me too! i miss you i havnt seen you in ages
worry,forgot to renew my drivers license
sadness,was just about to try and  dl the sims 3 but realize my pc do not meet the standard requirements  i need new pc lol!!
worry,my cats sick.
worry,i really need to invest in an elliptical machine.. running with shin splints sucks!!
worry,"alex slammed her head into the edge of the table about 30 min ago.  she is going to have a nice, blue bruise."
sadness,everyone has left me and gone to bed
sadness, our boy better get it in tonight!! or it is all over
sadness,i want to join drama practice today but i ca not
worry,is very hungover
surprise,love to but  already got plan  going to queen mary !
worry,  i hope you hoes are having so much fun..not too much without me though lol
neutral, it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.
worry,"took calculus exam today, i think that i did well. i messed up one derivative identity though  well, i never miss that one again."
surprise,someone out there will soon  be the lucky recipient of my 500th tweet. oh wait. shit. this was it!
worry,i lost my voice
neutral, wish i had something to toast with .. but all i have is a glass of water
worry,"woke up early this morning  not happy bout that, headache, dizzy ca not breathe, yeh im still sick"
love,"did not win a lammy last night  but happy for scott sherman, who did. walked my feet off at bea today."
happiness, yea i think i waited to long. oh well. thats cool. i should have signed up for more but i am already done with core classes
surprise, aww  but typing from beyond the grave..impressive
neutral,ca not change my profile or settings
sadness, my stupid putet wo not let me go to your chat
love, ..thanks for the shout out..you might be right about the starving thing..  little lol
sadness, i missed the chicago show  boo me.
worry," ahh, i slept through the game.  i am gonna try my best to watch tomorrow though. i hope we play army."
sadness, sorry bro  that is rough.
sadness, i think im just going to wind up going home and go to bed
neutral,bout to hit pmark then make one of my final meals wit the housemates..
sadness, i miss having u as a roommate
sadness,"bored and kinda lonely, my parents went up to the lake. i did not have a friend to bring up so i knew i was bored and did not go."
neutral," welcome back to the bay area. does in and out call to you?  wish i could meet ya at the meetup, but i will be working a gig."
neutral, scanton?! that is farr  elaine got her cartilage pierced! it is so cute!
neutral,def is not. i do not even feel like me without a pic next to my tweet.
worry,plans were taking flight to go out tonight but they are now sinking in the hudson since i have to work in he morning. stupid bird strike.
worry,i am bored. no internet. i have not made it downtown or to the beach yet.
worry,im hungry and its cold
neutral,ok im good again . headed home i look like a wet dog
happiness, omfg i have been downing them they are so tasty. i ate almost all of them with lo
happiness,"passed my drivers test! i can drive!..oh wait, i do not turn 16 till october"
love,scramming a little early. nibs sounds pathetic.
worry,is working tomorrow all day so ca not do anything tonight  whats the plan for saturday?
neutral,home now. some invaders have taken over my base
neutral,"the ballerina family is super nice, albeit a little too controlling of their son is life, but the bayou family is so judgemental."
worry,"hey there  how are you going? looking forward to weekend, sadly im workin both sat sun"
worry," i chewed up a starbucks and a subway gift card at christmas time, i got in big trouble. i not allowed near purse."
worry, me too
sadness, yeah it is a double edged sword. so i guess we dead on new stories?
neutral,"sometimes i wish i were a man, i could pee were i stand, and scratch my chest, but instead? here lies a breast  hah"
neutral, crud is all i can say
worry,"feels really sick. just puked my guts out.  help, please."
worry, just read those tweets and it sounded like i was getting on at you . i swear not what i meant to do
neutral, i hear you sister!!  same here.
sadness,trying to watch boys before flowers online. streaming sucks and my wireless is crappy too
happiness, i have yet to even get out to play this year  soon i hope!
happiness, dang me too! it is only a 4 hour drive! too bad it is my daughters 1st bday party  it is hosted by donnie
neutral,slipped up and caught the flu  feeling like poop!
worry, noo!! not too busy for you! ever! srsly!  you are my pal! i am not yet familiar with iphone twitter
sadness,"i so want to be a part of windows clubhouse, but my wl spaces blog is random, and not the place where i share windows stuff"
worry, nope no love
worry," awe i am sorry, probably true."
sadness,why does twitter eat my dm is?  not happy
worry,swollen face..again
neutral, jennah can u just tell jay i said good night plz? im asking nicely!
neutral, ya will going out without me
worry, baby i am in maryland i am not gonna make it  but i will see ur sexy ass next sat in camden vip..come early n hang!!
worry,has on music at work today its so painful
worry," i wish i can see that. they have cnn here again, with no volume."
neutral,has a really really itchy eye
worry,feeling sick and wondering if i should get out of bed to go throw up or just go to sleep..
sadness, i am so sorry  do you want me to call? if not i will be on aim in a couple of hours if you need to vent
worry,"chillin, wish i was with my pals in il"
worry, lol but its only gonna be 80  the water will prob be cold as heck..
happiness,"1.2 mile run and 450 meter swim, things are looking better and better.. laying off the bike today"
worry, yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss bradd
worry, ohh. hm. i do not want to screw mine up
neutral, he will be out of school in 18mos! he just started again
worry,twitter has spam!!?? oh no
neutral,off to rehearsal for the rob delucca thingy next month. nothing like learning new songs last minute
worry,  on your ani?  sorry
neutral, dagnabbitt.. u kno i wanna go.. gotta do a couple laps in the pool though..
worry,i have trouble with starship troopers. they are mean to the great big pink bug.
worry,there is nothing worse than getting a text about a dog that was abandoned in your town
neutral," i know it is in hd, but comcast does not have it."
sadness, what r u doing tonight bro?i wanna go out
worry,little kids annoy the hell outa me by being all active and shouting and attacking me etc.
worry,there are no appointments left for the day so they are trying to work me in. almost an hour for a stuck freaking power button fml
worry,lol i mean hey! that is mean
happiness,"  haha,i just may do that,yo!"
sadness, workin ur crazy sched. has to be tiring..its gotta  be hard being famous  but jus kno u have bazillionz of fans supprtin u
sadness," i know, twitter is depressing me tonight"
worry,"seriously my parents are non stop  minniapolis, newport for a week, and now this weekend in san diego  i miss them "
sadness,  wish i could eat with you all !!
worry,they just admitted my grandma to the hospital.. shes my only last one  please pray for her
worry,"ok, my job at walmart is a cart pusher  i hope i dont get sunburned"
sadness,i dont get how to use twitterr!
neutral,washed eye out but got water up my sleeve
neutral, and did not bring me any??  you suck
neutral," my mum and brett went to see it today.. i thought i was invited, but they left without me"
worry,so lost  on my owm tryinh to find matter in the o2
sadness, bye selena!! too bad i didnt get to talk to u while u were here
worry,junk food and movies in a tshirt and sweats.. the only way tonight would be better is if i had someone to hang with
sadness, no ghost whisperer?!!  what am i going to do without j. love?!
sadness,i hate songs and surveys  they always seem to make me cry.
worry,wondering if twitter will be fixed for my phone any time soon..
neutral,just got outta work.  .. frankie is house.
sadness,last full day of high school was today. i am sad that i may never see a lot of my friends ever again!!
worry,i am getting more and more reactions when stroking the cat.  now i have welts on my hands from where she caught me with her claws.
sadness,i want a burrito but i still have 30 more minutes of work
sadness,my tummy hurts..
sadness, if i got paid by the hour i could retire by now  do you have xbox live? i am thinking rock band
sadness,i hate it when my bff is groundedd  boo
neutral, it is not on my cable carrier. only space channel
neutral, welcome to my life
happiness, well even with her breakdown she was better than the other acts unfortunately! britain is got very little talent
worry, lol. just do not ever forget me
neutral,cant get onto twitter on the internet
worry,shit..game starts in 30 min!!
love,the beginning of cater 2 u always gets to me
worry,poor wavves. had a meltdown in barcelona. drummer walked out. shoes were thrown. hands in face.
worry, sorry to hear that sweetness  have you taken anything for pain?
worry, she fell into deep crack in the glacier  so terrible
sadness,mann..  why aint my music working
sadness,my dog died today. we had her for 11 years. i miss her so much.
sadness,sometimes i wish i was a warden
sadness,"i am bored.. do not want to stay home tonight, but do not want to spend money  blah"
worry,i will cry!!  i ca not believe that i lost the chat!!
worry,i should be paying my bills and not playing on here.
worry,my hair hurts
neutral,"so tired of driving, i really could use a chauffeur"
happiness, looks good .. making me hungry but boy stll asleep
sadness,"i just saw a baby dove fall from a tree, break its neck and die  i tried to save it and couldnt. what a cruel world"
sadness,wants to go home!
surprise,waiting for my turn on wii fit gym closed
worry, that sounds like the scariest zombie dream ever.
worry,i dont like things getting confused. seems to be happening alot lately
